,name,ticker,manager
98,"145    Western Asset Global High Yield Bond Fund
Name: Name_x, dtype: object",SAHYX US equity,Christopher F Kilpatrick
99,"155    PIA High Yield Fund
Name: Name_x, dtype: object",PHYSX US equity,Lloyd McAdams
100,"157    Angel Oak High Yield Opportunities Fund
Name: Name_x, dtype: object",ANHAX US equity,Matt Kennedy
101,"166    SEI Institutional Managed Trust - High Yield B...
Name: Name_x, dtype: object",SHYAX US equity,Adam H Brown
102,"168    Hartford Strategic Income Fund
Name: Name_x, dtype: object",HSNAX US equity,Michael Schafer
103,"178    American High-Income Trust
Name: Name_x, dtype: object",AHITX US equity,Tara Torrens
104,"187    PACE High Yield Investments
Name: Name_x, dtype: object",PHDYX US equity,Fred Lee
105,"193    Manning & Napier High Yield Bond Series
Name: Name_x, dtype: object",MNHYX US equity,Marc Bushallow
106,"194    Manning & Napier High Yield Bond Series
Name: Name_x, dtype: object",MNHYX US equity,Keith Harwood
107,"201    PGIM High Yield Fund
Name: Name_x, dtype: object",PBHAX US equity,Robert Spano
108,"202    PGIM High Yield Fund
Name: Name_x, dtype: object",PBHAX US equity,Brian Clapp
109,"212    SEI Institutional Investment Trust - High Yiel...
Name: Name_x, dtype: object",SGYAX US equity,Todd Boehly
110,Access Flex High Yield Fund,FYAIX US equity,Jeff Ploshnick
111,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Garrett R D'Alessandro
112,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Stefan Paul Pinter
113,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Maxim Matveev
114,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Theodore Stohner
115,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Bruce D Simon
116,City National Rochdale Fixed Income Opportunities Fund,RIMOX US equity,Graham Rainbow
117,Calamos High Income Fund,CCHYX US equity,
118,Touchstone High Yield Fund,THYCX US equity,Brendan M White
119,Dunham High Yield Bond Fund,DCHYX US equity,
120,Delaware Fund For Income Fund,FIFIX US equity,Craig C Dembek
121,AllianzGI High Yield Bond Fund,AYBVX US equity,
122,Thrivent High Yield Fund,LBHYX US equity,
123,HSBC Strategic Income Fund,HBIAX US equity,Jerry Samet
124,Invesco High Yield Bond Factor Fund,OGYAX US equity,
125,Fidelity Focused High Income Fund,FHIFX US equity,Matthew J Conti
126,DDJ Capital Opportunistic High Yield Fund,DDJCX US equity,"Benjamin J Santonelli ""Ben"""
127,HSBC High Yield Bond Fund,HBYAX US equity,Mary Gottshall Bowers
128,Voya High Yield Bond Fund,IHYAX US equity,
129,Transamerica High Yield Bond,IHIYX US equity,
130,MFS High Income Fund,MHITX US equity,Bill Adams
131,MFS High Income Fund,MHITX US equity,
132,Janus Henderson High-Yield Fund,JHYAX US equity,
133,Timothy Plan High Yield Bond Fund,TPHAX US equity,
